Positive Sentiment,Negative Sentiment,Objective Sentiment,Female Orientation,Male Orientation,Filename,Number of Words,Number of Paragraphs,Relative Punctuation,Average Words per Sentence,Unnamed: 0,Number of Sentences,Number of Dialogs,Number of Sentences with Dialogs,Number of Named People,Number of Named Places,Number of Named Organizations,filenames
0.06458520792352489,0.06239512844594278,0.8730196636305311,3678.0,4627.0,pg23664.epub,129464,3053,0.1410894148180189,17.09321362556113,281,3054,2589.5,2131,152,125,52,pg23664.epub
0.06572219682532482,0.07665576708408348,0.8576220360905908,1665.0,2363.0,pg23736.epub,101397,1803,0.12477686716569525,19.81184056271981,282,1804,1520.5,1029,324,198,110,pg23736.epub
0.07031494814696977,0.07226099480039543,0.8574240570526327,1605.0,3178.0,pg23741.epub,101128,1102,0.09920101257811882,18.320289855072463,283,1103,1087.0,668,172,139,41,pg23741.epub
0.07011208269761045,0.06342014844815758,0.8664677688542319,824.0,1701.0,pg23745.epub,80350,1472,0.15111387678904792,15.845000985998814,284,1473,1781.0,1025,187,134,133,pg23745.epub
0.07746843322582447,0.08588389958166354,0.8366476671925097,3171.0,2559.0,pg23789.epub,109202,3248,0.1508305708686654,14.859436658048715,285,3249,2327.0,2211,186,67,39,pg23789.epub
0.08350043714510913,0.1059445836160605,0.8105549792388317,4900.0,2608.0,pg23797.epub,112221,2593,0.14805606793737358,14.657915360501569,286,2594,2929.5,2024,97,53,37,pg23797.epub
0.0649409327361649,0.07091371317628446,0.8641453540875508,1808.0,3215.0,pg24769.epub,89497,2330,0.1820396214398248,12.642604887696,287,2331,3406.5,2180,134,72,35,pg24769.epub
0.0621087424417197,0.0678330415674155,0.8700582159908641,851.0,2348.0,pg24920.epub,50137,1750,0.15445678839978458,13.650149741355838,288,1751,1633.5,1049,121,94,60,pg24920.epub
0.07812101532011309,0.0809444767348155,0.8409345079450705,2957.0,4849.0,pg25702.epub,94049,1668,0.10443492222139523,12.300418519487314,289,1669,1660.0,1197,101,85,38,pg25702.epub
0.06905314941306356,0.08121504534964072,0.8497318052372952,660.0,6243.0,pg25730.epub,114508,1294,0.07745310371327767,24.71573494496007,290,1295,1042.5,869,86,91,47,pg25730.epub
0.07075516433085767,0.08557595582060001,0.8436688798485424,2151.0,1989.0,pg26259.epub,94345,2965,0.15399862207854156,13.312402991392693,291,2966,2028.0,1861,166,112,57,pg26259.epub
0.0783618622185609,0.07884664651311245,0.8427914912683264,2339.0,1828.0,pg26277.epub,93388,1548,0.1264509358804129,19.01221498371336,292,1549,981.0,689,272,174,130,pg26277.epub
0.07219893581610133,0.07138869461582527,0.8564123695680744,966.0,3041.0,pg26306.epub,67903,2581,0.142011398612727,12.933904761904762,293,2582,2299.0,1770,58,25,7,pg26306.epub
0.07874823025720368,0.08456437368125583,0.8366873960615403,4241.0,2813.0,pg26482.epub,115956,3660,0.16858980992790368,14.243459034516645,294,3661,2982.5,2303,129,39,30,pg26482.epub
0.06918753678469143,0.0658398357851598,0.8649726274301484,1280.0,4181.0,pg2675.epub,151718,2112,0.15552538261775134,19.973407056345447,295,2113,2085.0,1484,1202,622,289,pg2675.epub
0.07286101534628668,0.09604066324115117,0.8310983214125612,1645.0,2802.0,pg26768.epub,97752,1482,0.1369486046321303,17.936146788990825,296,1483,1378.5,1039,277,136,57,pg26768.epub
0.06964038674026451,0.08795360531998625,0.8424060079397495,3817.0,3531.0,pg26828.epub,151260,4536,0.0991141081581383,12.647157190635452,297,4537,133.0,103,180,117,56,pg26828.epub
0.08531943938099784,0.08336151399135558,0.8313190466276456,965.0,1190.0,pg26847.epub,63604,983,0.13162694170177974,15.407945736434106,298,984,978.5,860,94,35,26,pg26847.epub
0.06407573027845337,0.05706074987584469,0.8788635198457012,64.0,920.0,pg26925.epub,25804,1696,0.156874903115796,10.86484210526316,299,1697,1046.0,935,44,25,15,pg26925.epub
0.09717448505873576,0.09060175544753828,0.8122237594937267,1872.0,2128.0,pg27323.epub,58454,1820,0.14842440209395422,12.4053480475382,300,1821,1498.5,1285,108,63,30,pg27323.epub
0.07968811336323066,0.09135758995202388,0.8289542966847442,2165.0,7743.0,pg27507.epub,158390,2929,0.10575162573394783,18.71116361488482,301,2930,173.0,130,202,117,64,pg27507.epub
0.0846404047196305,0.09371260233670216,0.8216469929436674,1810.0,1733.0,pg27549.epub,73130,1875,0.13694790099822235,14.970317297850563,302,1876,1739.0,1191,104,122,55,pg27549.epub
0.061081304355237585,0.07032902353103895,0.8685896721137234,89.0,106.0,pg27709.epub,6024,379,0.27141434262948205,6.103343465045593,303,380,362.0,335,80,17,1,pg27709.epub
0.08216975400332009,0.1015835287111102,0.8162467172855695,629.0,1184.0,pg27838.epub,24652,593,0.16805938666233974,14.49265138154027,304,594,595.5,439,30,23,2,pg27838.epub
0.07042986631404663,0.07421413437449229,0.855355999311461,595.0,1784.0,pg27857.epub,65002,2216,0.1807482846681641,10.225263489067169,305,2217,2468.0,1684,52,39,17,pg27857.epub
0.06842536406790166,0.06976129171928329,0.8618133442128156,1340.0,3292.0,pg27909.epub,117560,1154,0.12653113303844846,30.831366378179908,306,1155,1203.0,690,70,54,26,pg27909.epub
0.05842702176761736,0.06103010211230635,0.8805428761200765,887.0,2626.0,pg28229.epub,75440,2187,0.15050371155885472,12.09943865276664,307,2188,2239.0,1630,289,91,71,pg28229.epub
0.0903042606299506,0.09042011765755446,0.8192756217124935,800.0,1999.0,pg28236.epub,74127,1276,0.10676271803796188,15.32816377171216,308,1277,1120.5,904,118,79,71,pg28236.epub
0.07707252754923896,0.07294005638031707,0.8499874160704437,4308.0,1730.0,pg28301.epub,97355,1893,0.15923167787992398,16.693244170096026,309,1894,1830.0,1161,209,124,20,pg28301.epub
0.08003177011626604,0.07843375309655297,0.8415344767871816,2893.0,2935.0,pg28459.epub,114847,2622,0.16139733732705253,15.038234908995681,310,2623,3701.0,2086,205,106,83,pg28459.epub
0.08455039856662318,0.10092384750751088,0.8145257539258681,6655.0,4705.0,pg28463.epub,179818,3428,0.15500116784749024,15.975302061122953,311,3429,3766.0,2398,243,114,52,pg28463.epub
0.0892779395103454,0.08241197904565219,0.8283100814440026,1395.0,1917.0,pg28465.epub,56728,1974,0.1572415738259766,10.840435696541181,312,1975,1577.5,1400,169,73,48,pg28465.epub
0.06905894054121113,0.07574111596500946,0.8551999434937783,2144.0,1895.0,pg28509.epub,70669,1236,0.13936803973453707,15.988461538461538,313,1237,1002.0,850,101,27,17,pg28509.epub
0.0806674454510019,0.10118098860717198,0.8181515659418266,5653.0,5460.0,pg28717.epub,138310,2852,0.14399537271346974,20.60637663885578,314,2853,2309.0,1575,287,107,38,pg28717.epub
0.08382771348787225,0.10114495525509618,0.8150273312570327,7038.0,7229.0,pg28925.epub,192010,4232,0.0996458517785532,14.91919191919192,315,4233,260.0,192,308,107,53,pg28925.epub
0.05376810018881055,0.05779144809349083,0.8884404517176994,753.0,1753.0,pg29071.epub,74679,1518,0.09172592027209793,19.58023072889355,316,1519,643.0,870,331,259,148,pg29071.epub
0.08463732009816316,0.08437473379519997,0.8309879461066364,1595.0,3778.0,pg29207.epub,78793,1336,0.10272486134555099,17.435937154237664,317,1337,987.0,738,95,56,31,pg29207.epub
